model,split,roc_auc,f1,accuracy,precision,recall,cv_auc_mean,cv_auc_std,train_rows,test_rows
XGBoost,Standard 80/20,0.8577,0.8148,0.8145,0.6921,0.9903,0.8451,0.0083,8000,2000
XGBoost,OOT 2021 cohort,0.4921,0.7027,0.5736,0.6414,0.777,0.514,0.0149,4010,2012
Random Forest,Standard 80/20,0.8511,0.8177,0.8165,0.6922,0.9988,0.8503,0.0053,8000,2000
Random Forest,OOT 2021 cohort,0.5062,0.7704,0.6317,0.6467,0.9525,0.5109,0.0177,4010,2012
Logistic Regression,Standard 80/20,0.8428,0.7679,0.786,0.6941,0.8592,0.8509,0.0091,8000,2000
Logistic Regression,OOT 2021 cohort,0.4919,0.7022,0.581,0.6514,0.7617,0.4844,0.007,4010,2012
